Function Name,Radare2,Ghidra,Angr_Fast,Angr_Emul
bfd_elf_readonly_dynrelocs,✓,✗,✗,✗
bfd_elf_record_link_assignment,✓,✗,✗,✗
bfd_elf_rel_local_sym,✓,✗,✗,✗
bfd_elf_rela_local_sym,✓,✗,✗,✗
bfd_elf_reloc_symbol_deleted_p,✓,✗,✗,✗
bfd_elf_section_already_linked,✓,✗,✗,✗
bfd_elf_section_for_symbol,✓,✗,✗,✗
bfd_elf_section_from_bfd_section,✓,✗,✗,✗
bfd_elf_section_offset,✓,✗,✗,✗
bfd_elf_set_group_contents,✓,✗,✗,✗
bfd_elf_set_reloc_sh_name,✓,✗,✗,✗
bfd_elf_set_section_contents,✓,✗,✗,✗
bfd_elf_set_section_sframe,✓,✗,✗,✗
bfd_elf_setup_sections,✓,✗,✗,✗
bfd_elf_sframe_present,✓,✗,✗,✗
bfd_elf_single_rel_hdr,✓,✗,✗,✗
bfd_elf_size_dynamic_sections,✓,✗,✗,✗
bfd_elf_size_dynsym_hash_dynstr,✓,✗,✗,✗
bfd_elf_size_group_sections,✓,✗,✗,✗
bfd_elf_sizeof_headers,✓,✗,✗,✗
bfd_elf_slurp_secondary_reloc_section,✓,✗,✗,✗
bfd_elf_slurp_version_tables,✓,✗,✗,✗
bfd_elf_stack_segment_size,✓,✗,✗,✗
bfd_elf_string_from_elf_section,✓,✗,✗,✗
bfd_elf_strip_zero_sized_dynamic_sections,✓,✗,✗,✗
bfd_elf_strtab_add,✓,✗,✗,✗
bfd_elf_strtab_addref,✓,✗,✗,✗
bfd_elf_strtab_clear_all_refs,✓,✗,✗,✗
bfd_elf_strtab_delref,✓,✗,✗,✗
bfd_elf_strtab_emit,✓,✗,✗,✗
bfd_elf_strtab_finalize,✓,✗,✗,✗
bfd_elf_strtab_free,✓,✗,✗,✗
bfd_elf_strtab_init,✓,✗,✗,✗
bfd_elf_strtab_offset,✓,✗,✗,✗
bfd_elf_strtab_refcount,✓,✗,✗,✗
bfd_elf_strtab_restore,✓,✗,✗,✗
bfd_elf_strtab_save,✓,✗,✗,✗
bfd_elf_strtab_size,✓,✗,✗,✗
bfd_elf_strtab_str,✓,✗,✗,✗
bfd_elf_swap_verdaux_in,✓,✗,✗,✗
bfd_elf_swap_verdaux_out,✓,✗,✗,✗
bfd_elf_swap_verdef_in,✓,✗,✗,✗
bfd_elf_swap_verdef_out,✓,✗,✗,✗
bfd_elf_swap_vernaux_in,✓,✗,✗,✗
bfd_elf_swap_vernaux_out,✓,✗,✗,✗
bfd_elf_swap_verneed_in,✓,✗,✗,✗
bfd_elf_swap_verneed_out,✓,✗,✗,✗
bfd_elf_swap_versym_in,✓,✗,✗,✗
bfd_elf_swap_versym_out,✓,✗,✗,✗
bfd_elf_sym_name,✓,✗,✗,✗
bfd_elf_symbol_from_bfd_symbol,✓,✗,✗,✗
bfd_elf_symbol_refs_local_p,✓,✗,✗,✗
bfd_elf_tls_setup,✓,✗,✗,✗
bfd_elf_validate_reloc,✓,✗,✗,✗
bfd_elf_write_object_contents,✓,✗,✗,✗
bfd_elf_write_secondary_reloc_section,✓,✗,✗,✗
bfd_elf_write_section_build_attributes,✓,✗,✗,✗
bfd_elf_write_section_eh_frame,✓,✗,✗,✗
bfd_elf_write_section_eh_frame_entry,✓,✗,✗,✗
bfd_elf_write_section_eh_frame_hdr,✓,✗,✗,✗
bfd_elf_write_section_sframe,✓,✗,✗,✗
bfd_elf_x86_finish_relative_relocs,✓,✗,✗,✗
bfd_elf_x86_get_local_sym_hash,✓,✗,✗,✗
bfd_elf_x86_size_relative_relocs,✓,✗,✗,✗
bfd_elf_x86_valid_reloc_p,✓,✗,✗,✗
bfd_elfcore_make_pseudosection,✓,✗,✗,✗
bfd_elfcore_strndup,✓,✗,✗,✗
bfd_emul_get_commonpagesize,✓,✗,✗,✗
bfd_emul_get_maxpagesize,✓,✗,✗,✗
bfd_errmsg,✓,✓,✓,✓
bfd_error,✓,✗,✗,✗
bfd_error_handler,✓,✗,✗,✗
bfd_extract_object_only_section,✓,✗,✗,✗
bfd_fatal,✓,✗,✗,✗
bfd_fdopenr,✓,✗,✗,✗
bfd_fdopenw,✓,✗,✗,✗
bfd_fill_in_gnu_debuglink_section,✓,✗,✗,✗
bfd_final_link_relocate,✓,✗,✗,✗
bfd_find_arch_match,✓,✗,✗,✗
bfd_find_target,✓,✗,✗,✗
bfd_find_version_for_sym,✓,✗,✗,✗
bfd_fix_excluded_sec_syms,✓,✗,✗,✗
bfd_flavour_name,✓,✗,✗,✗
bfd_flush,✓,✗,✗,✗
bfd_follow_build_id_debuglink,✓,✗,✗,✗
bfd_follow_gnu_debugaltlink,✓,✗,✗,✗
bfd_follow_gnu_debuglink,✓,✗,✗,✗
bfd_fopen,✓,✗,✗,✗
bfd_fprintf_vma,✓,✗,✗,✗
bfd_free_cached_info,✓,✗,✗,✗
bfd_generic_archive_p,✓,✗,✗,✗
bfd_generic_define_common_symbol,✓,✗,✗,✗
bfd_generic_define_start_stop,✓,✗,✗,✗
bfd_generic_final_link,✓,✗,✗,✗
bfd_generic_get_elt_at_index,✓,✗,✗,✗
bfd_generic_get_relocated_section_contents,✓,✗,✗,✗
bfd_generic_get_section_contents,✓,✗,✗,✗
bfd_generic_link_add_archive_symbols,✓,✗,✗,✗
bfd_generic_link_add_one_symbol,✓,✗,✗,✗
bfd_generic_link_add_symbols,✓,✗,✗,✗
bfd_generic_link_hash_newfunc,✓,✗,✗,✗
bfd_generic_link_hash_table_create,✓,✗,✗,✗
bfd_generic_link_hash_table_free,✓,✗,✗,✗
bfd_generic_link_read_symbols,✓,✗,✗,✗
bfd_generic_lookup_section_flags,✓,✗,✗,✗
bfd_generic_make_empty_symbol,✓,✗,✗,✗
bfd_generic_mkarchive,✓,✗,✗,✗
bfd_generic_new_section_hook,✓,✗,✗,✗
bfd_generic_openr_next_archived_file,✓,✗,✗,✗
bfd_generic_read_ar_hdr_mag,✓,✗,✗,✗
bfd_generic_read_minisymbols,✓,✗,✗,✗
bfd_generic_relax_section,✓,✗,✗,✗
bfd_generic_reloc_link_order,✓,✗,✗,✗
bfd_generic_section_already_linked,✓,✗,✗,✗
