Caller,Callee,Call Type,Radare2,Ghidra,Angr_Fast,Angr_Emul
bfd_elf32_object_p,bfd_read,High-High,✓,✗,✗,✗
bfd_elf32_object_p,bfd_seek,High-High,✓,✗,✗,✗
bfd_elf32_object_p,bfd_set_error,High-High,✓,✗,✗,✗
bfd_elf32_object_p,bfd_zalloc,High-High,✓,✗,✗,✗
bfd_elf32_object_p,elf_swap_ehdr_in,High-High,✓,✗,✗,✗
bfd_elf32_object_p,elf_swap_shdr_in,High-High,✓,✗,✗,✗
bfd_elf32_object_p,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_elf32_object_p,imp.dcgettext,High-High,✓,✗,✗,✗
bfd_elf32_write_out_phdrs,bfd_write,High-High,✓,✗,✗,✗
bfd_elf32_write_out_phdrs,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_elf32_write_relocs,bfd_abort,High-High,✓,✗,✗,✗
bfd_elf32_write_relocs,bfd_alloc,High-High,✓,✗,✗,✗
bfd_elf32_write_relocs,bfd_error_handler,High-High,✓,✗,✗,✗
bfd_elf32_write_relocs,bfd_set_error,High-High,✓,✗,✗,✗
bfd_elf32_write_relocs,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_elf32_write_relocs,imp.dcgettext,High-High,✓,✗,✗,✗
bfd_elf32_write_shdrs_and_ehdr,bfd_alloc,High-High,✓,✗,✗,✗
bfd_elf32_write_shdrs_and_ehdr,bfd_seek,High-High,✓,✗,✗,✗
bfd_elf32_write_shdrs_and_ehdr,bfd_write,High-High,✓,✗,✗,✗
bfd_elf32_write_shdrs_and_ehdr,elf_swap_ehdr_out,High-High,✓,✗,✗,✗
bfd_elf32_write_shdrs_and_ehdr,elf_swap_shdr_out,High-High,✓,✗,✗,✗
bfd_elf32_write_shdrs_and_ehdr,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_elf64_core_file_matches_executable_p,bfd_set_error,High-High,✓,✗,✗,✗
bfd_elf64_core_file_matches_executable_p,imp.memcmp,High-High,✓,✗,✗,✗
